#1:x 2:y 3:z 4:n.x 5:n.y 6:n.z
-0.370085 -0.314399 -0.197211 -0.286213 -0.436674 -0.277113
-0.388686 -0.313895 -0.177176 -0.310125 -0.43746 -0.252414
-0.393859 -0.317623 -0.161373 -0.318759 -0.445654 -0.235587
-0.37103 -0.334395 -0.158614 -0.291356 -0.47359 -0.235053
-0.375615 -0.319026 -0.182307 -0.295722 -0.443829 -0.260449
-0.378573 -0.326344 -0.170094 -0.299279 -0.464816 -0.235905
-0.333751 -0.354462 -0.159149 -0.258995 -0.502535 -0.23847
-0.350461 -0.314207 -0.216551 -0.263934 -0.433576 -0.30249
-0.356287 -0.319348 -0.20216 -0.272565 -0.441502 -0.285934
-0.333392 -0.334876 -0.198157 -0.251726 -0.466063 -0.282211
-0.336351 -0.318451 -0.220795 -0.250876 -0.438153 -0.310971
-0.339715 -0.326962 -0.209775 -0.2528 -0.460039 -0.287161
-0.352718 -0.334982 -0.178732 -0.272711 -0.467784 -0.259505
-0.35717 -0.340194 -0.164413 -0.279163 -0.483886 -0.236952
-0.3596 -0.327248 -0.190529 -0.275297 -0.463317 -0.261386
-0.365743 -0.331185 -0.174935 -0.280983 -0.479375 -0.239642
-0.337744 -0.340784 -0.184534 -0.255783 -0.481263 -0.262954
-0.340725 -0.347958 -0.172177 -0.259192 -0.502308 -0.2385
-0.346456 -0.331377 -0.194659 -0.258578 -0.474564 -0.266858
-0.316097 -0.316813 -0.238688 -0.231596 -0.438025 -0.330379
-0.290569 -0.33271 -0.235053 -0.207444 -0.4606 -0.331956
-0.293985 -0.314782 -0.256189 -0.203435 -0.438786 -0.357779
-0.298809 -0.322214 -0.244089 -0.211397 -0.447888 -0.340715
-0.25595 -0.314749 -0.275686 -0.167594 -0.4434 -0.389007
-0.277065 -0.335469 -0.237813 -0.195823 -0.469125 -0.335052
-0.278043 -0.31832 -0.259727 -0.193605 -0.442409 -0.363987
-0.280886 -0.32752 -0.249395 -0.193779 -0.463771 -0.34245
-0.252784 -0.33305 -0.254925 -0.171035 -0.46767 -0.361295
-0.259201 -0.339251 -0.241595 -0.175754 -0.477957 -0.34629
-0.260061 -0.3231 -0.264506 -0.17504 -0.453801 -0.371159
-0.265723 -0.330632 -0.252507 -0.174403 -0.474481 -0.351116
-0.294267 -0.353827 -0.197577 -0.216177 -0.496781 -0.287042
-0.314702 -0.354459 -0.178678 -0.236721 -0.499135 -0.264144
-0.318345 -0.360099 -0.164787 -0.239976 -0.51986 -0.240164
-0.293882 -0.373082 -0.158239 -0.221373 -0.536452 -0.242175
-0.298698 -0.359286 -0.183505 -0.217831 -0.51528 -0.266889
-0.300487 -0.367138 -0.171826 -0.221351 -0.536393 -0.242255
-0.312874 -0.334079 -0.216892 -0.224951 -0.470127 -0.304922
-0.317963 -0.339806 -0.203088 -0.233737 -0.476963 -0.2893
-0.319376 -0.32541 -0.227754 -0.231604 -0.454956 -0.313441
-0.325838 -0.330896 -0.213709 -0.234857 -0.473312 -0.291831
-0.297623 -0.337761 -0.220573 -0.212928 -0.47112 -0.315952
-0.300256 -0.346685 -0.209966 -0.215468 -0.493516 -0.291016
-0.303478 -0.329764 -0.232108 -0.209834 -0.473463 -0.316703
-0.320741 -0.347841 -0.191591 -0.236655 -0.498708 -0.264637
-0.327777 -0.3514 -0.175619 -0.241126 -0.516618 -0.242256
-0.307354 -0.351038 -0.194788 -0.217918 -0.514725 -0.267357
-0.272183 -0.352564 -0.215846 -0.189463 -0.501516 -0.309021
-0.278483 -0.357299 -0.201049 -0.196912 -0.509145 -0.293943
-0.251215 -0.371505 -0.195724 -0.181837 -0.536711 -0.281452
-0.258024 -0.355107 -0.218388 -0.178015 -0.502153 -0.319833
-0.259862 -0.363416 -0.207166 -0.179962 -0.523885 -0.296153
-0.273493 -0.372587 -0.177274 -0.20058 -0.532238 -0.267182
-0.278814 -0.376608 -0.161764 -0.20255 -0.553086 -0.244363
-0.280233 -0.366059 -0.190278 -0.200162 -0.530849 -0.268989
-0.286545 -0.370172 -0.174859 -0.202556 -0.553101 -0.244343
-0.258486 -0.375202 -0.179889 -0.181838 -0.546382 -0.27178
-0.259766 -0.382937 -0.168094 -0.185204 -0.567926 -0.24687
-0.264225 -0.369328 -0.193547 -0.181838 -0.546382 -0.27178
-0.279671 -0.343988 -0.2268 -0.195347 -0.486619 -0.318034
-0.285153 -0.350051 -0.213332 -0.197397 -0.510557 -0.292046
-0.261646 -0.348232 -0.231044 -0.177753 -0.501416 -0.320831
-0.329208 -0.391132 -0.0200379 -0.30294 -0.647663 -0.0493976
-0.330012 -0.391505 -0.000880163 -0.312717 -0.670319 -0.0169649
-0.368926 -0.352555 -0.11818 -0.295056 -0.517005 -0.187939
-0.387845 -0.352264 -0.0788264 -0.335031 -0.537892 -0.127077
-0.372565 -0.35479 -0.100883 -0.314772 -0.524531 -0.160697
-0.376366 -0.357484 -0.0840465 -0.322204 -0.543983 -0.133813
-0.388407 -0.333154 -0.137841 -0.317943 -0.478266 -0.203791
-0.392428 -0.335895 -0.121052 -0.328582 -0.485507 -0.185911
-0.396928 -0.32383 -0.148049 -0.325143 -0.464447 -0.21041
-0.401144 -0.328553 -0.13324 -0.330052 -0.484444 -0.185504
-0.37592 -0.338258 -0.142946 -0.304161 -0.484836 -0.211003
-0.377426 -0.344625 -0.129782 -0.308999 -0.504703 -0.186298
-0.383977 -0.330322 -0.154541 -0.303469 -0.48671 -0.209821
-0.39617 -0.339568 -0.105193 -0.337049 -0.503411 -0.15954
-0.396828 -0.344559 -0.0906529 -0.343749 -0.522516 -0.133734
-0.405078 -0.331234 -0.11639 -0.340243 -0.500012 -0.159745
-0.381491 -0.348422 -0.114047 -0.315025 -0.524338 -0.160637
-0.385189 -0.350668 -0.0967619 -0.319378 -0.546251 -0.134371
-0.351745 -0.353835 -0.138992 -0.281215 -0.505908 -0.212876
-0.356532 -0.357139 -0.122764 -0.288546 -0.524526 -0.186929
-0.330611 -0.372312 -0.118406 -0.266585 -0.544186 -0.189229
-0.337794 -0.35926 -0.144416 -0.263458 -0.522966 -0.213576
-0.338729 -0.36589 -0.131515 -0.268034 -0.543064 -0.188902
-0.350439 -0.37257 -0.0796017 -0.299695 -0.564732 -0.135572
-0.357422 -0.362743 -0.108837 -0.294034 -0.544314 -0.161652
-0.359193 -0.366831 -0.0933936 -0.300289 -0.564254 -0.135458
-0.335146 -0.374501 -0.101064 -0.273599 -0.563782 -0.162619
-0.337885 -0.377824 -0.0848551 -0.279745 -0.584464 -0.13579
-0.34361 -0.36913 -0.115224 -0.273599 -0.563782 -0.162619
-0.347521 -0.371029 -0.0975919 -0.279005 -0.585065 -0.13593
-0.359431 -0.347053 -0.151741 -0.28316 -0.504317 -0.212523
-0.364748 -0.350228 -0.135385 -0.287348 -0.525409 -0.187243
-0.346804 -0.351135 -0.155823 -0.262422 -0.52346 -0.214118
-0.390099 -0.353722 -0.0607536 -0.3481 -0.54475 -0.10715
-0.392419 -0.355231 -0.0427313 -0.361088 -0.561039 -0.0778727
-0.367374 -0.371197 -0.0391653 -0.326615 -0.593444 -0.0799409
-0.376953 -0.361268 -0.0682992 -0.329665 -0.563599 -0.106736
-0.376969 -0.364418 -0.0519182 -0.338091 -0.58333 -0.0785786
-0.394058 -0.356262 -0.0242303 -0.371633 -0.580426 -0.0479413
-0.394889 -0.356779 -0.00521602 -0.383247 -0.600294 -0.0164593
-0.368298 -0.371722 -0.0201596 -0.343771 -0.607335 -0.0488935
-0.369031 -0.372145 -0.00105118 -0.357093 -0.626171 -0.0167359
-0.377856 -0.365988 -0.0339571 -0.347743 -0.60366 -0.0485976
-0.378768 -0.366527 -0.0149643 -0.358746 -0.624562 -0.0166929
-0.399494 -0.347176 -0.0737385 -0.351725 -0.541721 -0.106555
-0.402044 -0.348855 -0.0558862 -0.36114 -0.560993 -0.0778663
-0.403775 -0.349982 -0.0374819 -0.371069 -0.580947 -0.0479844
