x y z n.x n.y n.z
0.03125 0.497652 0.125 -0.0475599 -0.998758 -0.0148625
0.015625 0.498396 0.125 -0.0475599 -0.998758 -0.0148625
0.03125 0.4983 0.0625 -0.0791132 -0.996826 -0.00890023
0.046875 0.49706 0.0625 -0.0791132 -0.996826 -0.00890023
0.046875 0.49692 0.078125 -0.0791132 -0.996826 -0.00890023
0.03125 0.49816 0.078125 -0.0791132 -0.996826 -0.00890023
0.03125 0.498163 0.078125 -0.0791116 -0.996806 -0.0108778
0.046875 0.496923 0.078125 -0.0791116 -0.996806 -0.0108778
0.046875 0.496752 0.09375 -0.0791116 -0.996806 -0.0108778
0.03125 0.497992 0.09375 -0.0791116 -0.996806 -0.0108778
0.046875 0.497073 0.0625 -0.110427 -0.993845 -0.00887361
0.0625 0.495337 0.0625 -0.110427 -0.993845 -0.00887361
0.0625 0.495198 0.078125 -0.110427 -0.993845 -0.00887361
0.046875 0.496934 0.078125 -0.110427 -0.993845 -0.00887361
0.046875 0.496943 0.078125 -0.110425 -0.993825 -0.0108453
0.0625 0.495207 0.078125 -0.110425 -0.993825 -0.0108453
0.0625 0.495036 0.09375 -0.110425 -0.993825 -0.0108453
0.046875 0.496772 0.09375 -0.110425 -0.993825 -0.0108453
0.03125 0.497998 0.09375 -0.0791098 -0.996783 -0.0128553
0.046875 0.496758 0.09375 -0.0791098 -0.996783 -0.0128553
0.046875 0.496557 0.109375 -0.0791098 -0.996783 -0.0128553
0.03125 0.497797 0.109375 -0.0791098 -0.996783 -0.0128553
0.03125 0.497806 0.109375 -0.0791076 -0.996756 -0.0148327
0.046875 0.496566 0.109375 -0.0791076 -0.996756 -0.0148327
0.046875 0.496333 0.125 -0.0791076 -0.996756 -0.0148327
0.03125 0.497573 0.125 -0.0791076 -0.996756 -0.0148327
0.046875 0.496785 0.09375 -0.110422 -0.993802 -0.0128169
0.0625 0.495049 0.09375 -0.110422 -0.993802 -0.0128169
0.0625 0.494847 0.109375 -0.110422 -0.993802 -0.0128169
0.046875 0.496584 0.109375 -0.110422 -0.993802 -0.0128169
0.046875 0.4966 0.109375 -0.110419 -0.993775 -0.0147883
0.0625 0.494864 0.109375 -0.110419 -0.993775 -0.0147883
0.0625 0.494632 0.125 -0.110419 -0.993775 -0.0147883
0.046875 0.496368 0.125 -0.110419 -0.993775 -0.0147883
0.0625 0.495714 0 -0.141421 -0.989949 -0.000982092
0.078125 0.493482 0 -0.141421 -0.989949 -0.000982092
0.078125 0.493466 0.015625 -0.141421 -0.989949 -0.000982092
0.0625 0.495698 0.015625 -0.141421 -0.989949 -0.000982092
0.0625 0.495698 0.015625 -0.141421 -0.989945 -0.00294627
0.078125 0.493466 0.015625 -0.141421 -0.989945 -0.00294627
0.078125 0.493419 0.03125 -0.141421 -0.989945 -0.00294627
0.0625 0.495651 0.03125 -0.141421 -0.989945 -0.00294627
0.078125 0.493767 0 -0.172001 -0.985096 -0.000977278
0.09375 0.491039 0 -0.172001 -0.985096 -0.000977278
0.09375 0.491023 0.015625 -0.172001 -0.985096 -0.000977278
0.078125 0.493751 0.015625 -0.172001 -0.985096 -0.000977278
0.078125 0.493755 0.015625 -0.172 -0.985093 -0.00293182
0.09375 0.491027 0.015625 -0.172 -0.985093 -0.00293182
0.09375 0.490981 0.03125 -0.172 -0.985093 -0.00293182
0.078125 0.493709 0.03125 -0.172 -0.985093 -0.00293182
0.0625 0.495655 0.03125 -0.14142 -0.989938 -0.0049104
0.078125 0.493423 0.03125 -0.14142 -0.989938 -0.0049104
0.078125 0.493345 0.046875 -0.14142 -0.989938 -0.0049104
0.0625 0.495577 0.046875 -0.14142 -0.989938 -0.0049104
0.0625 0.495584 0.046875 -0.141418 -0.989926 -0.00687449
0.078125 0.493352 0.046875 -0.141418 -0.989926 -0.00687449
0.078125 0.493244 0.0625 -0.141418 -0.989926 -0.00687449
0.0625 0.495476 0.0625 -0.141418 -0.989926 -0.00687449
0.078125 0.493717 0.03125 -0.171999 -0.985085 -0.00488633
0.09375 0.490989 0.03125 -0.171999 -0.985085 -0.00488633
0.09375 0.490911 0.046875 -0.171999 -0.985085 -0.00488633
0.078125 0.49364 0.046875 -0.171999 -0.985085 -0.00488633
0.078125 0.493652 0.046875 -0.171997 -0.985074 -0.00684079
0.09375 0.490924 0.046875 -0.171997 -0.985074 -0.00684079
0.09375 0.490816 0.0625 -0.171997 -0.985074 -0.00684079
0.078125 0.493544 0.0625 -0.171997 -0.985074 -0.00684079
0.09375 0.491494 0 -0.2021 -0.979364 -0.000971592
0.109375 0.488269 0 -0.2021 -0.979364 -0.000971592
0.109375 0.488254 0.015625 -0.2021 -0.979364 -0.000971592
0.09375 0.491478 0.015625 -0.2021 -0.979364 -0.000971592
0.09375 0.491487 0.015625 -0.202102 -0.97936 -0.00291476
0.109375 0.488262 0.015625 -0.202102 -0.97936 -0.00291476
0.109375 0.488216 0.03125 -0.202102 -0.97936 -0.00291476
