x,y,r
0.569188,0.740801,0.03926
0.55981,0.258153,0.030762
0.569188,0.259199,0.03926
0.577453,0.257494,0.046186
0.586462,0.256965,0.052204
0.598279,0.257202,0.058923
0.607121,0.257756,0.062768
0.618099,0.258958,0.067631
0.62952,0.260959,0.072062
0.63962,0.263144,0.0758
0.651915,0.266295,0.080109
0.663172,0.269794,0.083862
0.672311,0.273024,0.086842
0.68382,0.277551,0.090545
0.694379,0.282225,0.09397
0.703584,0.286613,0.096894
0.716651,0.293576,0.101142
0.726073,0.299156,0.104252
0.73127,0.302365,0.10598
0.743329,0.31041,0.110077
0.750759,0.315812,0.112677
0.759727,0.322787,0.115842
0.768547,0.330168,0.119003
0.777884,0.338631,0.122406
0.785441,0.346089,0.125257
0.791103,0.352037,0.127394
0.799297,0.361345,0.130558
0.805764,0.369354,0.133103
0.811188,0.376612,0.13527
0.817493,0.3857,0.137763
0.822972,0.394506,0.140033
0.827975,0.403357,0.142102
0.832562,0.412309,0.14401
0.837691,0.423768,0.146133
0.841244,0.432993,0.147651
0.84527,0.445278,0.149389
0.847487,0.453506,0.150354
0.849928,0.464977,0.15137
0.851629,0.475538,0.152154
0.85274,0.487267,0.15262
0.853138,0.496861,0.152789
0.852987,0.508593,0.152716
0.85209,0.520395,0.152321
0.850628,0.531094,0.151702
0.848444,0.542449,0.15078
0.846142,0.551672,0.149755
0.842878,0.562407,0.148341
0.838998,0.57298,0.146692
0.835685,0.580908,0.145299
0.831669,0.589496,0.143632
0.826282,0.599766,0.141398
0.821109,0.608545,0.139282
0.816026,0.616483,0.137181
0.809776,0.625351,0.134695
0.803424,0.633622,0.132183
0.797977,0.640196,0.130058
0.789942,0.649219,0.126947
0.781939,0.657428,0.123931
0.777884,0.661369,0.122406
0.768547,0.669832,0.119003
0.759727,0.677213,0.115842
0.750759,0.684188,0.112677
0.743329,0.68959,0.110077
0.73127,0.697635,0.10598
0.726073,0.700844,0.104252
0.716651,0.706424,0.101142
0.703584,0.713387,0.096894
0.694378,0.717775,0.09397
0.68382,0.722449,0.090545
0.672311,0.726976,0.086842
0.663172,0.730206,0.083862
0.651915,0.733705,0.080109
0.63962,0.736856,0.0758
0.62952,0.739041,0.072062
0.618099,0.741042,0.067631
0.607121,0.742244,0.062768
0.598279,0.742798,0.058923
0.586462,0.743035,0.052204
0.577453,0.742506,0.046186
0.572654,0.742325,0.042465
