x y n.x n.y
0.0902325 0.137712 0.931241 0.364404 1
0.0906507 0.326208 0.921664 -0.387989 1
0.0919449 0.330078 0.909238 -0.416278 1
0.0931328 0.333496 0.921568 -0.388216 1
0.0907677 0.345856 -0.889668 0.456608 1
0.0922591 0.349609 -0.870207 0.492687 1
0.0932531 0.352401 -0.860226 0.509913 1
0.0969733 0.108592 -0.753575 -0.657362 1
0.0959535 0.111328 -0.809291 -0.587408 1
0.0944192 0.114784 -0.913466 -0.406915 1
0.0967715 0.123508 0.860177 0.509996 1
0.0952465 0.126953 0.848015 0.529973 1
0.0941764 0.129699 0.880814 0.473463 1
0.0945115 0.334392 0.896966 -0.4421 1
0.0958071 0.337891 0.883227 -0.468946 1
0.0970198 0.341101 0.892158 -0.451724 1
0.0949869 0.353516 -0.853512 0.521073 1
0.0965711 0.357112 -0.834529 0.550964 1
0.0996094 0.107301 -0.648328 -0.761361 1
0.100137 0.119141 0.832113 0.554605 1
0.098609 0.122507 0.829095 0.559108 1
0.0986043 0.342101 0.866986 -0.498332 1
0.100136 0.345703 0.851103 -0.524999 1
0.101136 0.348374 0.859828 -0.510583 1
0.0983936 0.358205 -0.845918 0.533313 1
0.0998014 0.361328 -0.811812 0.583919 1
0.100975 0.364059 -0.797633 0.603143 1
0.1038 0.104256 -0.587932 -0.80891 1
0.102758 0.106007 -0.410363 -0.911922 1
0.104581 0.11214 0.789175 0.614168 1
0.103209 0.115234 0.804261 0.594277 1
0.102062 0.117917 0.825156 0.564905 1
0.103021 0.349609 0.832731 -0.553678 1
0.104529 0.352916 0.821312 -0.570479 1
0.103059 0.365288 -0.785563 0.618781 1
0.104557 0.368281 -0.767985 0.640467 1
0.108755 0.0965243 -0.877039 -0.480419 1
0.108206 0.0996658 -0.85136 -0.524583 1
0.106794 0.103023 -0.740585 -0.671963 1
0.10833 0.108438 0.667528 0.744584 1
0.106954 0.110848 0.704191 0.710011 1
0.10647 0.354079 0.811322 -0.584599 1
0.107999 0.357218 0.786046 -0.618168 1
0.106795 0.369556 -0.757253 0.653122 1
0.108244 0.372319 -0.734852 0.678227 1
0.11159 0.0928216 -0.481299 -0.876557 1
0.110904 0.0952814 -0.707768 -0.706445 1
0.111328 0.107138 0.630401 0.77627 1
0.110108 0.35846 0.780475 -0.625186 1
0.111573 0.361328 0.757135 -0.653259 1
0.110669 0.373662 -0.718914 0.695099 1
0.112053 0.376199 -0.698684 0.715431 1
0.115234 0.0928378 0.391146 -0.920329 1
0.116244 0.0946833 0.703286 -0.710907 1
0.11681 0.0998662 0.9761 0.217324 1
0.115114 0.103516 0.777078 0.629404 1
0.113938 0.106085 0.684299 0.729201 1
0.113849 0.362648 0.744587 -0.667525 1
0.11521 0.365234 0.724484 -0.689292 1
0.116572 0.367802 0.706885 -0.707329 1
0.114689 0.377621 -0.674344 0.738418 1
0.116004 0.379945 -0.659833 0.751412 1
0.117586 0.0959156 0.974802 -0.223074 1
0.117671 0.0994439 0.965299 0.261147 1
0.119141 0.369163 0.690125 -0.72369 1
0.118871 0.38142 -0.637405 0.770529 1
0.120126 0.383585 -0.623928 0.781482 1
0.124208 0.0809046 -0.817968 -0.575264 1
0.12352 0.0839844 -0.905517 -0.42431 1
0.122466 0.0878906 -0.99772 0.0674851 1
0.123284 0.0917685 -0.74644 0.665453 1
0.12172 0.370528 0.670515 -0.741896 1
0.123047 0.372816 0.656218 -0.754571 1
0.123047 0.38497 -0.606244 0.795279 1
0.127748 0.0777519 -0.306634 -0.951827 1
0.126953 0.0795594 -0.543555 -0.839374 1
0.126953 0.0928129 0.155909 0.987771 1
0.125882 0.374284 0.630167 -0.77646 1
0.127145 0.376401 0.622417 -0.782686 1
0.125758 0.386185 -0.575654 0.817693 1
0.126953 0.38813 -0.577329 0.816512 1
0.130991 0.0796646 0.645606 -0.763671 1
0.132561 0.0835188 0.986 -0.166746 1
0.131448 0.0878906 0.880946 0.473217 1
0.130103 0.0911333 0.73297 0.680261 1
0.130247 0.377934 0.586901 -0.809659 1
0.131438 0.379893 0.583142 -0.81237 1
0.130322 0.389704 -0.545236 0.838282 1
0.131451 0.39151 -0.54501 0.838429 1
0.133201 0.0812243 0.901186 -0.433432 1
0.136429 0.2058 -0.973392 -0.229147 1
0.135917 0.208984 -0.980401 -0.19701 1
0.135316 0.212891 -0.985777 -0.16806 1
0.134787 0.216797 -0.989848 -0.142127 1
0.134327 0.220703 -0.993293 -0.115623 1
0.133949 0.224609 -0.996156 -0.0875976 1
0.133656 0.228516 -0.99823 -0.0594734 1
0.133455 0.232422 -0.999511 -0.0312829 1
0.133352 0.236328 -0.999995 -0.00308081 1
0.133424 0.240234 -0.999691 0.0248706 1
0.133601 0.244141 -0.998638 0.0521708 1
0.133867 0.248047 -0.996881 0.0789184 1
0.134216 0.251953 -0.994385 0.105827 1
0.134645 0.255859 -0.991026 0.133673 1
0.135156 0.259766 -0.986489 0.16383 1
0.135754 0.263672 -0.980645 0.195793 1
0.136353 0.267202 -0.974085 0.226181 1
0.134766 0.381417 0.553507 -0.832844 1
0.135953 0.383288 0.528068 -0.849202 1
0.134766 0.392887 -0.511567 0.859244 1
0.140274 0.0763716 -0.98055 -0.196268 1
0.139847 0.07969 -0.895449 0.445165 1
0.139985 0.193443 -0.946046 -0.324032 1
0.139017 0.197266 -0.955447 -0.295162 1
0.138093 0.201172 -0.964702 -0.263344 1
0.137258 0.205078 -0.973392 -0.229147 1
0.137131 0.267755 -0.974085 0.226181 1
0.13791 0.271484 -0.967167 0.254143 1
0.138797 0.275391 -0.958941 0.283607 1
0.139763 0.279297 -0.948655 0.316312 1
0.138672 0.384301 0.525015 -0.851093 1
0.137704 0.394011 -0.466774 0.884377 1
0.138713 0.39558 -0.480805 0.876827 1
0.143428 0.0691448 -0.726951 -0.686689 1
0.142513 0.0722656 -0.827762 -0.561079 1
0.140793 0.0757035 -0.993644 -0.112565 1
0.142136 0.0808414 -0.618605 0.785702 1
0.143027 0.0824845 -0.288395 0.957511 1
0.144035 0.182522 -0.907288 -0.42051 1
0.14316 0.185547 -0.92227 -0.386546 1
0.141959 0.189453 -0.93491 -0.354885 1
0.141068 0.192698 -0.946046 -0.324032 1
0.140928 0.280343 -0.948655 0.316312 1
0.141687 0.283203 -0.93674 0.350025 1
0.142879 0.287109 -0.92289 0.385065 1
0.143897 0.290432 -0.907391 0.420287 1
0.142226 0.385802 0.496992 -0.867755 1
0.143269 0.387437 0.494396 -0.869237 1
0.142578 0.397081 -0.451387 0.892328 1
0.146484 0.0680781 -0.170475 -0.985362 1
0.146484 0.0805852 0.582729 0.812666 1
0.145389 0.0824003 0.395359 0.918527 1
0.147854 0.174756 -0.869063 -0.494702 1
0.146838 0.177734 -0.889222 -0.457477 1
0.145422 0.181609 -0.907288 -0.42051 1
0.148327 0.232422 0.99953 0.0306552 1
0.148322 0.236328 0.999995 -0.0033052 1
0.14834 0.240234 0.999291 -0.0376475 1
0.145286 0.291339 -0.907391 0.420287 1
0.146563 0.294922 -0.889684 0.456576 1
0.147717 0.298144 -0.869641 0.493685 1
0.146484 0.388619 0.467917 -0.883772 1
0.14544 0.398039 -0.402015 0.915633 1
0.146484 0.399479 -0.423037 0.906113 1
0.150071 0.0688392 0.669743 -0.742593 1
0.151024 0.0722656 0.959595 -0.281386 1
0.150161 0.0761719 0.892767 0.450519 1
0.149126 0.0790072 0.788521 0.615007 1
0.151129 0.169944 -0.846308 -0.532695 1
0.149489 0.173715 -0.868164 -0.496277 1
0.15196 0.205657 0.963131 0.269034 1
0.151312 0.208984 0.97178 0.235891 1
0.150592 0.212891 0.979722 0.20036 1
0.149969 0.216797 0.986374 0.164521 1
0.149441 0.220703 0.991516 0.129984 1
0.149008 0.224609 0.995321 0.0966201 1
0.148673 0.228516 0.997972 0.0636574 1
0.148471 0.231561 0.99953 0.0306552 1
0.148495 0.240672 0.999291 -0.0376475 1
0.148736 0.244141 0.997444 -0.0714486 1
0.149096 0.248047 0.994509 -0.104647 1
0.149551 0.251953 0.990514 -0.137415 1
0.150098 0.255859 0.985344 -0.170578 1
0.150733 0.259766 0.978503 -0.206231 1
0.151467 0.263672 0.969513 -0.245041 1
0.152037 0.266665 0.959133 -0.282954 1
0.14935 0.299173 -0.869641 0.493685 1
0.150851 0.302734 -0.847083 0.53146 1
0.151862 0.305417 -0.834344 0.551244 1
0.149945 0.389892 0.437175 -0.899377 1
0.150892 0.39133 0.436493 -0.899708 1
0.150391 0.400803 -0.395876 0.918304 1
0.155446 0.162951 -0.81011 -0.586278 1
0.154077 0.166016 -0.82433 -0.56611 1
0.152888 0.168842 -0.848811 -0.528696 1
0.155719 0.194023 0.924644 0.380832 1
0.154851 0.197266 0.940437 0.339967 1
0.15381 0.201172 0.953074 0.302737 1
0.152875 0.205025 0.963131 0.269034 1
0.153069 0.267578 0.959133 -0.282954 1
0.154065 0.271484 0.947745 -0.319028 1
0.155152 0.275391 0.933935 -0.357442 1
0.155879 0.278205 0.918175 -0.396174 1
0.153798 0.306641 -0.82071 0.571344 1
0.155306 0.309858 -0.8011 0.598531 1
0.154297 0.392442 0.40555 -0.914073 1
0.15369 0.401813 -0.366913 0.930255 1
0.154514 0.403036 -0.370192 0.928955 1
0.158978 0.158717 -0.77384 -0.633381 1
0.157461 0.161758 -0.797688 -0.60307 1
0.159394 0.186023 0.888633 0.458618 1
0.158219 0.189453 0.907083 0.420952 1
0.15698 0.193178 0.924644 0.380832 1
0.157283 0.279297 0.918175 -0.396174 1
0.158629 0.283203 0.899662 -0.436587 1
0.159598 0.286183 0.878294 -0.478121 1
0.157363 0.31106 -0.791059 0.611739 1
0.158862 0.314033 -0.764168 0.645018 1
0.158203 0.393711 0.376357 -0.926475 1
0.159057 0.394963 0.365608 -0.930769 1
0.158203 0.404102 -0.346498 0.938051 1
0.163798 0.0655668 -0.953812 -0.300404 2
0.163623 0.0677322 -0.949214 0.314633 2
0.162634 0.154681 -0.739359 -0.673311 1
0.16117 0.157445 -0.762689 -0.646765 1
0.163371 0.17858 0.848308 0.529503 1
0.162217 0.181641 0.869153 0.494543 1
0.160903 0.18504 0.888633 0.458618 1
0.161177 0.287189 0.878021 -0.478621 1
0.162779 0.291016 0.852345 -0.52298 1
0.161112 0.315318 -0.751424 0.65982 1
0.162549 0.318019 -0.729166 0.684337 1
0.162109 0.395775 0.348855 -0.937177 1
0.162109 0.405193 -0.321829 0.946798 1
0.16636 0.0613422 -0.584164 -0.811636 2
0.165368 0.0644531 -0.872311 -0.488952 2
0.165433 0.0686816 -0.765576 0.643346 2
0.166407 0.071001 -0.403284 0.915075 2
0.166413 0.150821 -0.699597 -0.714538 1
0.165028 0.153343 -0.719251 -0.69475 1
0.166725 0.174028 0.815531 0.578713 1
0.165136 0.177478 0.845215 0.534426 1
0.16455 0.292167 0.854563 -0.519347 1
0.165701 0.294922 0.822219 -0.569172 1
0.167117 0.298023 0.803069 -0.595886 1
0.164995 0.31938 -0.707301 0.706913 1
0.166352 0.321823 -0.682683 0.730714 1
0.166016 0.396862 0.322044 -0.946725 1
0.165097 0.405938 -0.288463 0.957491 1
0.166016 0.407003 -0.296006 0.955186 1
0.169922 0.0609167 0.284987 -0.958531 2
0.170326 0.0692803 0.554432 0.832229 2
0.169317 0.0708324 0.359859 0.933007 2
0.170333 0.147082 -0.660427 -0.75089 1
0.169021 0.149409 -0.678528 -0.734574 1
0.171277 0.167253 0.767455 0.641102 1
0.170066 0.169922 0.784779 0.619775 1
0.168655 0.172838 0.814562 0.580076 1
0.169176 0.299228 0.789592 -0.613632 1
0.170676 0.302202 0.764351 -0.644801 1
0.169061 0.323271 -0.655333 0.75534 1
0.170351 0.32549 -0.640537 0.767928 1
0.169837 0.397849 0.300379 -0.95382 1
0.170531 0.398859 0.299298 -0.95416 1
0.169922 0.407921 -0.272038 0.962286 1
0.172776 0.0617569 0.636394 -0.771364 2
0.173122 0.0644531 0.968292 -0.249821 2
0.172804 0.06766 0.803419 0.595414 2
0.174429 0.143463 -0.619966 -0.784629 1
0.173195 0.145603 -0.63024 -0.7764 1
0.174981 0.163207 0.730386 0.683035 1
0.173545 0.165965 0.751609 0.659609 1
0.172946 0.303485 0.746778 -0.665073 1
0.174369 0.30615 0.719532 -0.69446 1
0.173355 0.327003 -0.604217 0.79682 1
0.174556 0.329022 -0.590762 0.806846 1
0.173828 0.399611 0.281898 -0.959444 1
0.173828 0.408784 -0.249135 0.968469 1
0.178928 0.0614179 -0.818482 -0.574532 2
0.178593 0.0644531 -0.961718 0.274042 2
0.178844 0.0669322 -0.529042 0.848595 2
0.178732 0.139944 -0.580112 -0.814537 1
0.177545 0.141936 -0.596428 -0.802666 1
0.178826 0.159334 0.690158 0.723659 1
0.177454 0.161852 0.711886 0.702295 1
0.176883 0.307533 0.693336 -0.720614 1
0.178217 0.309911 0.667468 -0.744639 1
0.177734 0.330473 -0.562765 0.826617 1
0.177734 0.4005 0.259663 -0.965699 1
0.177734 0.409583 -0.230343 0.973109 1
0.178524 0.410432 -0.230343 0.973109 1
0.182369 0.0574459 -0.683734 -0.729732 2
0.180764 0.0602607 -0.840148 -0.542357 2
0.180362 0.0656506 -0.745803 0.666167 2
0.181641 0.0676024 -0.351271 0.936274 2
0.181641 0.138699 -0.561022 -0.827801 1
0.182845 0.155612 0.648499 0.761215 1
0.181541 0.157908 0.666718 0.74531 1
0.181055 0.311393 0.629361 -0.777113 1
0.182291 0.313515 0.6145 -0.788917 1
0.180435 0.331574 -0.521861 0.85303 1
0.181641 0.33338 -0.524996 0.851105 1
0.181641 0.401329 0.235923 -0.971772 1
0.181641 0.410977 -0.215071 0.976598 1
0.186152 0.05405 -0.427627 -0.903955 2
0.185547 0.0559086 -0.467951 -0.883754 2
0.185907 0.0655924 0.454933 0.890526 2
0.185074 0.0671857 0.465978 0.884796 2
0.185775 0.135657 -0.524112 -0.851649 1
0.184696 0.137397 -0.524112 -0.851649 1
0.185547 0.154341 0.626144 0.779707 1
0.185476 0.315057 0.582463 -0.812857 1
0.186636 0.316993 0.561576 -0.827425 1
0.185364 0.33496 -0.483247 0.875484 1
0.186387 0.336552 -0.483141 0.875543 1
0.185134 0.402006 0.214372 -0.976752 1
