x y n.x n.y
0.175479 0.219727 0.999222 -0.0394439 1
0.175559 0.22168 0.99802 -0.0629005 1
0.175679 0.223633 0.996259 -0.0864205 1
0.174805 0.301584 -0.538237 0.842794 1
0.17707 0.126431 -0.617761 -0.786366 1
0.176456 0.12749 -0.623 -0.782222 1
0.177581 0.196638 0.971521 0.236954 1
0.177301 0.198242 0.976894 0.213725 1
0.176966 0.200195 0.981611 0.190892 1
0.17666 0.202148 0.98581 0.167866 1
0.176386 0.204102 0.989477 0.144687 1
0.176144 0.206055 0.99256 0.121757 1
0.175935 0.208008 0.995093 0.0989442 1
0.175847 0.223852 0.996259 -0.0864205 1
0.176021 0.225586 0.993928 -0.110033 1
0.176247 0.227539 0.99101 -0.133786 1
0.176508 0.229492 0.987484 -0.157722 1
0.176801 0.231445 0.983258 -0.182216 1
0.177127 0.233398 0.978325 -0.207078 1
0.177486 0.235352 0.972926 -0.231117 1
0.176503 0.302309 -0.507662 0.861556 1
0.177035 0.303147 -0.507662 0.861556 1
0.179213 0.124645 -0.599384 -0.800461 1
0.178606 0.12567 -0.609335 -0.792913 1
0.179346 0.19043 0.951919 0.306349 1
0.17887 0.192383 0.959144 0.282919 1
0.178423 0.194336 0.965597 0.260044 1
0.178004 0.196289 0.971521 0.236954 1
0.177892 0.235666 0.972926 -0.231117 1
0.17823 0.237305 0.967018 -0.254708 1
0.178673 0.239258 0.960085 -0.279708 1
0.179148 0.241211 0.952057 -0.305919 1
0.179502 0.242719 0.943838 -0.330408 1
0.178711 0.303791 -0.477093 0.878853 1
0.180664 0.123984 -0.591941 -0.805981 1
0.181329 0.18478 0.926313 0.376756 1
0.180828 0.186523 0.935515 0.353287 1
0.180273 0.188477 0.943954 0.330078 1
0.179874 0.190033 0.951919 0.306349 1
0.180079 0.243164 0.943838 -0.330408 1
0.180637 0.245117 0.934721 -0.355383 1
0.181229 0.24707 0.924169 -0.381983 1
0.180312 0.304376 -0.446316 0.894875 1
0.180792 0.305111 -0.446316 0.894875 1
0.182663 0.122393 -0.574591 -0.81844 1
0.182082 0.123355 -0.572091 -0.82019 1
0.183152 0.180693 0.906185 0.422882 1
0.182501 0.182617 0.916497 0.400042 1
0.181953 0.184361 0.926313 0.376756 1
0.181868 0.247496 0.924169 -0.381983 1
0.182334 0.249023 0.91355 -0.406726 1
0.183011 0.250977 0.901139 -0.433531 1
0.182617 0.305742 -0.414858 0.909886 1
0.184924 0.120678 -0.555496 -0.831519 1
0.184356 0.121606 -0.557808 -0.82997 1
0.185065 0.176827 0.883303 0.468802 1
0.184359 0.178711 0.895292 0.445479 1
0.183849 0.180234 0.906185 0.422882 1
0.183787 0.251552 0.901139 -0.433531 1
0.184238 0.25293 0.888115 -0.459622 1
0.185005 0.254882 0.874245 -0.485485 1
0.184379 0.306315 -0.382755 0.92385 1
0.184804 0.306949 -0.382755 0.92385 1
0.186523 0.119989 -0.541853 -0.840473 1
0.187074 0.173121 0.856489 0.516166 1
0.186404 0.174805 0.87033 0.492469 1
0.185837 0.176328 0.883303 0.468802 1
0.185811 0.255384 0.874245 -0.485485 1
0.186354 0.256836 0.858922 -0.512107 1
0.187051 0.258519 0.843849 -0.53658 1
0.186523 0.307437 -0.349715 0.936856 1
0.188493 0.118548 -0.525526 -0.850777 1
0.187952 0.119417 -0.521656 -0.853156 1
0.189189 0.169519 0.836141 0.548515 1
0.188649 0.170898 0.84166 0.540008 1
0.187926 0.172582 0.856489 0.516166 1
0.187944 0.259067 0.843849 -0.53658 1
0.188692 0.260742 0.826154 -0.563445 1
0.189214 0.262057 0.816708 -0.577051 1
0.188477 0.30798 -0.316833 0.948481 1
0.190904 0.116892 -0.507106 -0.861883 1
0.190374 0.117732 -0.509102 -0.860706 1
0.190905 0.167273 0.811795 0.583942 1
0.190125 0.168945 0.826512 0.562919 1
0.190235 0.262695 0.807382 -0.590029 1
0.190971 0.264248 0.79818 -0.602418 1
0.190131 0.308394 -0.28266 0.95922 1
0.190464 0.308872 -0.28266 0.95922 1
0.192383 0.116347 -0.493125 -0.869958 1
0.192656 0.1651 0.79286 0.609404 1
0.191886 0.16668 0.810739 0.585408 1
0.192008 0.264854 0.78868 -0.614804 1
0.19276 0.266358 0.774276 -0.632848 1
0.192383 0.309288 -0.247866 0.968794 1
0.194642 0.114869 -0.478046 -0.878335 1
0.194136 0.115657 -0.478046 -0.878335 1
0.195002 0.161742 0.764577 0.644532 1
0.194366 0.163086 0.774788 0.632221 1
0.193686 0.164483 0.789877 0.613266 1
0.193854 0.266985 0.768321 -0.640065 1
0.194585 0.268405 0.75082 -0.660507 1
0.194336 0.309671 -0.212553 0.97715 1
0.196289 0.114267 -0.463593 -0.886048 1
0.196854 0.159698 0.743984 0.668198 1
0.196128 0.161098 0.755887 0.654702 1
0.195741 0.269057 0.742218 -0.670158 1
0.196452 0.270397 0.729088 -0.68442 1
0.196289 0.310007 -0.17595 0.984399 1
0.198473 0.112906 -0.449395 -0.893333 1
0.197993 0.113647 -0.449395 -0.893333 1
0.198743 0.157706 0.722624 0.691242 1
0.198032 0.159037 0.736266 0.676692 1
0.197665 0.271072 0.718242 -0.695793 1
0.198359 0.272343 0.706544 -0.707669 1
0.198242 0.310295 -0.137843 0.990454 1
0.200195 0.112305 -0.434483 -0.90068 1
0.200672 0.15576 0.700129 0.714016 1
0.199982 0.157025 0.712342 0.701832 1
0.199632 0.273037 0.695188 -0.718828 1
0.200308 0.274249 0.68469 -0.728834 1
0.199789 0.31049 -0.0983353 0.995153 1
0.200195 0.310698 -0.0983353 0.995153 1
0.202423 0.111004 -0.419553 -0.907731 1
0.201966 0.111695 -0.419553 -0.907731 1
0.202646 0.153855 0.678142 0.734931 1
0.201979 0.155056 0.684999 0.728544 1
0.201643 0.274962 0.673073 -0.739576 1
0.202302 0.276123 0.665024 -0.746822 1
0.202148 0.310814 -0.0574344 0.998349 1
0.204102 0.110464 -0.406066 -0.913844 1
0.204667 0.151986 0.656285 0.754513 1
0.204014 0.153136 0.665408 0.74648 1
0.203697 0.276853 0.651368 -0.758762 1
0.204338 0.277968 0.644907 -0.764261 1
0.204102 0.310855 -0.0141719 0.9999 1
0.206516 0.109154 -0.39346 -0.919342 1
0.206055 0.109816 -0.39346 -0.919342 1
0.206055 0.15129 0.644713 0.764425 1
0.205792 0.278713 0.633381 -0.77384 1
0.206416 0.279794 0.628667 -0.777675 1
0.206055 0.31085 0.0319026 0.999491 1
0.208008 0.108727 -0.381362 -0.924426 1
0.208008 0.149586 0.623606 0.781739 1
0.207366 0.150663 0.630614 0.776096 1
0.207912 0.280545 0.624977 -0.780643 1
0.208532 0.281606 0.618526 -0.785764 1
0.208008 0.310778 0.080542 0.996751 1
0.209961 0.10812 -0.367455 -0.930041 1
0.210123 0.147823 0.602228 0.798324 1
0.209522 0.148841 0.600628 0.799528 1
0.209961 0.282283 0.617364 -0.786678 1
0.209961 0.31041 0.132931 0.991125 1
0.209764 0.310651 0.132931 0.991125 1
0.211971 0.107075 -0.353073 -0.935596 1
0.211575 0.107662 -0.353073 -0.935596 1
0.212315 0.146082 0.572367 0.819998 1
0.211731 0.147052 0.581834 0.813308 1
0.211318 0.282908 0.612795 -0.790242 1
0.211938 0.283948 0.615767 -0.787929 1
0.211914 0.310105 0.190956 0.981599 1
0.213867 0.106537 -0.339393 -0.940645 1
0.213867 0.145393 0.562016 0.827126 1
0.21347 0.284708 0.611637 -0.791138 1
0.214086 0.285753 0.618981 -0.785406 1
0.213867 0.30972 0.255306 0.96686 1
0.21582 0.105997 -0.326985 -0.945029 1
0.215832 0.143908 0.542756 0.839891 1
0.21528 0.144808 0.535643 0.844444 1
0.215595 0.286503 0.627877 -0.778313 1
0.216219 0.287579 0.630652 -0.776066 1
0.21582 0.309252 0.326172 0.945311 1
0.217773 0.10506 -0.318529 -0.947913 1
0.217288 0.105634 -0.318529 -0.947913 1
0.218188 0.142234 0.522562 0.852601 1
0.217647 0.143101 0.524138 0.851633 1
0.217662 0.288312 0.655526 -0.755172 1
0.218315 0.289452 0.666774 -0.74526 1
0.217835 0.308189 0.404999 0.914317 1
0.217389 0.308856 0.404999 0.914317 1
0.219727 0.104548 -0.308643 -0.951178 1
0.219727 0.141637 0.505545 0.8628 1
0.219641 0.290156 0.694202 -0.71978 1
0.220333 0.291399 0.719376 -0.694621 1
0.219727 0.307484 0.508608 0.860998 1
0.22168 0.104054 -0.294927 -0.95552 1
0.221875 0.14019 0.486604 0.873623 1
0.221365 0.140994 0.486604 0.873623 1
0.221508 0.292064 0.747199 -0.6646 1
0.222271 0.2935 0.8099 -0.586568 1
0.221791 0.305881 0.659485 0.751717 1
0.221155 0.306966 0.584175 0.811628 1
0.223633 0.103198 -0.281947 -0.95943 1
0.22325 0.10369 -0.281947 -0.95943 1
0.223633 0.13952 0.468146 0.883651 1
0.22324 0.2941 0.81536 -0.578954 1
0.224008 0.295898 0.895354 -0.445355 1
0.224417 0.302135 0.951976 0.306172 1
0.22379 0.303711 0.831224 0.555938 1
0.223116 0.305193 0.739921 0.672694 1
0.225586 0.102748 -0.269095 -0.963114 1
0.225674 0.138223 0.450559 0.892747 1
0.225194 0.138967 0.450559 0.892747 1
0.224795 0.29649 0.900683 -0.434476 1
0.225002 0.297852 0.97042 -0.241424 1
0.225119 0.299805 0.999708 0.0241729 1
0.224952 0.301758 0.951976 0.306172 1
0.227539 0.102316 -0.257261 -0.966342 1
0.227539 0.137551 0.433284 0.901258 1
0.229953 0.10143 -0.249317 -0.968422 1
0.229492 0.101896 -0.249317 -0.968422 1
0.22961 0.136326 0.41612 0.90931 1
0.229158 0.137013 0.41612 0.90931 1
0.231445 0.101141 -0.243697 -0.969851 1
0.231445 0.135722 0.399359 0.916795 1
0.233398 0.100743 -0.233202 -0.972428 1
0.233721 0.134494 0.383523 0.923531 1
0.233297 0.135129 0.383523 0.923531 1
0.235352 0.100366 -0.217251 -0.976116 1
0.235352 0.134023 0.367668 0.929957 1
0.237305 0.10001 -0.202685 -0.979244 1
0.237305 0.133441 0.35019 0.936679 1
0.239258 0.0993838 -0.195455 -0.980713 1
0.238925 0.0997376 -0.195455 -0.980713 1
0.239258 0.13246 0.335607 0.942002 1
0.238868 0.133021 0.335607 0.942002 1
0.241211 0.099054 -0.191512 -0.98149 1
0.241211 0.131926 0.322619 0.946529 1
0.243164 0.0987354 -0.182813 -0.983148 1
0.243164 0.131411 0.305929 0.952054 1
0.245117 0.0984321 -0.172486 -0.985012 1
0.245117 0.130534 0.290391 0.956908 1
0.244727 0.131037 0.290391 0.956908 1
0.24707 0.0981414 -0.161686 -0.986842 1
0.24707 0.130071 0.277496 0.960727 1
0.24944 0.097572 -0.148711 -0.988881 1
0.249023 0.0978652 -0.148711 -0.988881 1
0.249023 0.129625 0.2629 0.964823 1
0.250977 0.0973888 -0.139635 -0.990203 1
0.251365 0.128756 0.246802 0.969066 1
0.250977 0.129198 0.246802 0.969066 1
0.25293 0.0971509 -0.133543 -0.991043 1
0.25293 0.128462 0.233258 0.972415 1
0.254883 0.0969258 -0.12487 -0.992173 1
0.254883 0.128084 0.22129 0.975208 1
0.256836 0.0967142 -0.115709 -0.993283 1
0.256836 0.127723 0.208276 0.97807 1
0.258789 0.096516 -0.106779 -0.994283 1
0.258789 0.127379 0.194475 0.980908 1
0.260742 0.096331 -0.0979778 -0.995189 1
0.260758 0.126777 0.18026 0.983619 1
0.260525 0.127092 0.18026 0.983619 1
0.262695 0.0961594 -0.0893669 -0.995999 1
0.262695 0.126488 0.16749 0.985874 1
0.264648 0.0960008 -0.0809841 -0.996715 1
0.264648 0.126213 0.15514 0.987892 1
0.266602 0.095855 -0.0722511 -0.997386 1
0.266602 0.125956 0.142403 0.989809 1
0.268555 0.0956109 -0.0633815 -0.997989 1
0.268223 0.0957441 -0.0633815 -0.997989 1
0.268555 0.125716 0.129982 0.991516 1
0.270508 0.0955077 -0.0549567 -0.998489 1
0.270508 0.125494 0.117611 0.99306 1
0.272461 0.0954185 -0.0466296 -0.998912 1
0.272461 0.125291 0.105168 0.994454 1
0.274414 0.0953439 -0.0382698 -0.999267 1
0.274618 0.124928 0.0924091 0.995721 1
0.274414 0.125105 0.0924091 0.995721 1
0.276367 0.095284 -0.0299358 -0.999552 1
0.276367 0.1248 0.0800209 0.996793 1
0.27832 0.0952392 -0.0215077 -0.999769 1
0.27832 0.124672 0.0682457 0.997669 1
0.280273 0.0952101 -0.0131261 -0.999914 1
0.280273 0.124563 0.0562693 0.998416 1
0.282227 0.0951965 -0.00500175 -0.999987 1
0.282227 0.124475 0.0440971 0.999027 1
0.28418 0.0951954 0.00307063 -0.999995 1
0.28418 0.124408 0.0316708 0.999498 1
0.286133 0.0952054 0.0113856 -0.999935 1
0.286133 0.124364 0.0192434 0.999815 1
0.288086 0.0952314 0.0199087 -0.999802 1
0.288086 0.124343 0.00722057 0.999974 1
0.290039 0.0952733 0.0285287 -0.999593 1
0.290039 0.124341 -0.004378 0.99999 1
0.291992 0.0953309 0.0370605 -0.999313 1
0.291992 0.124357 -0.0158855 0.999874 1
0.293945 0.0954034 0.0454467 -0.998967 1
0.293945 0.124394 -0.0278049 0.999613 1
0.295898 0.0954904 0.0540224 -0.99854 1
0.295898 0.124454 -0.040038 0.999198 1
0.297852 0.0955923 0.062646 -0.998036 1
0.298332 0.0957343 0.062646 -0.998036 1
0.297852 0.124535 -0.0522023 0.998637 1
0.299805 0.0958338 0.0711982 -0.997462 1
0.299805 0.124637 -0.0642684 0.997933 1
0.301758 0.0959775 0.0799188 -0.996801 1
0.301758 0.124759 -0.0762146 0.997091 1
0.303711 0.0961351 0.0887876 -0.996051 1
0.303711 0.124899 -0.0883555 0.996089 1
0.303907 0.125069 -0.0883555 0.996089 1
0.305664 0.0963065 0.0977296 -0.995213 1
0.305664 0.12523 -0.100616 0.994925 1
0.307617 0.0964916 0.106971 -0.994262 1
0.307617 0.125427 -0.11256 0.993645 1
0.30957 0.0966909 0.11594 -0.993256 1
0.30957 0.125641 -0.125067 0.992148 1
0.311523 0.0969024 0.124671 -0.992198 1
0.311523 0.125874 -0.13774 0.990468 1
0.313477 0.0971271 0.133921 -0.990992 1
0.313477 0.126124 -0.15024 0.98865 1
0.31543 0.0973651 0.143428 -0.989661 1
0.31543 0.126392 -0.16329 0.986578 1
0.317023 0.0975609 0.152916 -0.988239 1
0.317383 0.0978584 0.152916 -0.988239 1
0.317383 0.126678 -0.176322 0.984333 1
0.317883 0.127038 -0.176322 0.984333 1
0.319336 0.0981351 0.162529 -0.986704 1
0.319336 0.127267 -0.189065 0.981965 1
0.321289 0.0984252 0.172594 -0.984993 1
0.321289 0.127603 -0.202088 0.979367 1
0.323242 0.0987293 0.182606 -0.983186 1
0.323242 0.127955 -0.215116 0.976588 1
0.325195 0.0990462 0.192544 -0.981288 1
0.325195 0.128324 -0.228338 0.973582 1
0.327148 0.0993766 0.202423 -0.979298 1
0.327473 0.0997441 0.202423 -0.979298 1
0.327053 0.128687 -0.241724 0.970345 1
0.327343 0.129101 -0.241724 0.970345 1
0.329102 0.100031 0.212431 -0.977176 1
0.329102 0.129469 -0.255346 0.96685 1
0.331055 0.100398 0.223283 -0.974754 1
0.331055 0.129903 -0.26913 0.963104 1
0.333008 0.10078 0.234096 -0.972214 1
0.333008 0.130354 -0.282735 0.959198 1
0.334961 0.101175 0.244941 -0.969538 1
0.334532 0.130689 -0.297321 0.954778 1
0.334961 0.131216 -0.297321 0.954778 1
0.336384 0.101444 0.256291 -0.9666 1
0.336914 0.101941 0.256291 -0.9666 1
0.336914 0.131716 -0.311816 0.950143 1
0.338867 0.102375 0.267649 -0.963516 1
0.338867 0.132234 -0.325797 0.94544 1
