x y n.x n.y
0.157927 0.191278 0.913996 0.405723 4
0.157386 0.278432 0.927443 -0.373963 4
0.159713 0.285156 0.888864 -0.458171 4
0.162382 0.291961 0.865056 -0.501675 4
0.157802 0.310387 -0.805992 0.591926 4
0.160754 0.316139 -0.739876 0.672744 4
0.157004 0.388656 0.933877 -0.357595 7
0.157064 0.393149 0.951765 0.306827 7
0.166378 0.0597761 0.761881 -0.647717 3
0.166989 0.0664062 0.996103 -0.0881922 3
0.165575 0.07255 0.828501 0.559988 3
0.169645 0.146476 -0.660524 -0.750805 4
0.167034 0.151295 -0.693154 -0.720789 4
0.169646 0.168957 0.794701 0.607002 4
0.166527 0.175537 0.829578 0.55839 4
0.165909 0.294069 0.835377 -0.549678 4
0.169004 0.300428 0.77786 -0.628437 4
0.165521 0.318847 -0.708756 0.705454 4
0.168235 0.323608 -0.671172 0.741302 4
0.178011 0.139414 -0.58562 -0.810585 4
0.175753 0.143461 -0.590318 -0.807171 4
0.176826 0.161208 0.70622 0.707992 4
0.173959 0.166493 0.759168 0.650895 4
0.173395 0.302982 0.746577 -0.665299 4
0.176184 0.308065 0.694042 -0.719935 4
0.173908 0.326648 -0.587652 0.809114 4
0.176359 0.330552 -0.589138 0.808033 4
0.176174 0.402344 -0.79201 -0.610509 4
0.175544 0.410156 -0.855718 0.517443 4
0.177806 0.415123 -0.491075 0.871117 4
0.183594 0.137215 -0.535275 -0.844678 4
0.184606 0.154012 0.611713 0.79108 4
0.182126 0.158357 0.65385 0.756624 4
0.18155 0.310987 0.630693 -0.776033 4
0.18405 0.31511 0.603296 -0.797518 4
0.183531 0.333776 -0.49014 0.871644 4
0.185587 0.337017 -0.49132 0.870979 4
0.183514 0.400086 -0.395594 -0.918425 4
0.183594 0.415324 -0.284815 0.958582 4
0.192408 0.131249 -0.474034 -0.880507 4
0.190949 0.134284 -0.3925 -0.919752 4
0.193217 0.147242 0.495361 0.868687 4
0.191064 0.150872 0.564147 0.825674 4
0.19091 0.318287 0.510763 -0.859722 4
0.192857 0.321538 0.446544 -0.894761 4
0.191406 0.338765 -0.418305 0.908307 4
0.191406 0.400059 0.148725 -0.988879 4
0.191406 0.415219 -0.0157179 0.999876 4
0.199219 0.128971 -0.396904 -0.91786 4
0.199219 0.145036 0.470026 0.882652 4
0.199219 0.323597 0.418154 -0.908376 4
0.199219 0.341253 -0.345785 0.938314 4
0.199219 0.40188 0.2654 -0.964138 4
0.199219 0.415025 -0.0121031 0.999927 4
0.208606 0.124089 -0.363891 -0.931441 4
0.207031 0.126603 -0.272135 -0.962259 4
0.20797 0.139654 0.311017 0.950404 4
0.20639 0.142178 0.429614 0.903013 4
0.207031 0.326074 0.330857 -0.943681 4
0.205869 0.343116 -0.225113 0.974333 4
0.207088 0.344826 -0.269056 0.963125 4
0.207031 0.403738 0.253533 -0.967327 4
0.207031 0.415555 -0.0820066 0.996632 4
